,x,y,u
0.127,0.922246031,0.994932099,0.278717073
0.128,0.921715115,0.994854739,0.280900823
0.129,0.921185867,0.994776857,0.283084317
0.13,0.920658295,0.994698455,0.285267553
0.131,0.920132408,0.994619533,0.28745053
0.132,0.919608215,0.994540096,0.289633245
0.133,0.919085725,0.994460143,0.291815697
0.134,0.918564947,0.994379677,0.293997883
0.135,0.918045888,0.994298699,0.296179802
0.136,0.917528559,0.994217212,0.298361451
0.137,0.917012967,0.994135218,0.300542829
0.138,0.916499122,0.994052718,0.302723934
0.139,0.915987032,0.993969713,0.304904763
0.14,0.915476706,0.993886207,0.307085315
0.141,0.914968152,0.9938022,0.309265587
0.142,0.91446138,0.993717696,0.311445578
0.143,0.913956397,0.993632694,0.313625286
0.144,0.913453213,0.993547199,0.315804708
0.145,0.912951836,0.99346121,0.317983843
0.146,0.912452274,0.993374731,0.320162689
0.147,0.911954537,0.993287764,0.322341244
0.148,0.911458633,0.993200309,0.324519505
0.149,0.91096457,0.99311237,0.326697471
0.15,0.910472358,0.993023948,0.32887514
0.151,0.909982004,0.992935045,0.33105251
0.152,0.909493517,0.992845663,0.333229578
0.153,0.909006906,0.992755804,0.335406344
0.154,0.908522178,0.99266547,0.337582804
0.155,0.908039344,0.992574663,0.339758957
0.156,0.90755841,0.992483385,0.341934801
0.157,0.907079387,0.992391638,0.344110335
0.158,0.906602281,0.992299425,0.346285555
0.159,0.906127101,0.992206746,0.34846046
0.16,0.905653857,0.992113605,0.350635048
0.161,0.905182556,0.992020003,0.352809317
0.162,0.904713206,0.991925942,0.354983265
0.163,0.904245817,0.991831424,0.357156891
0.164,0.903780396,0.991736452,0.359330191
0.165,0.903316952,0.991641028,0.361503165
0.166,0.902855493,0.991545153,0.363675809
0.167,0.902396027,0.99144883,0.365848123
0.168,0.901938563,0.991352061,0.368020104
0.169,0.90148311,0.991254847,0.370191751
0.17,0.901029674,0.991157192,0.37236306
0.171,0.900578266,0.991059097,0.374534031
0.172,0.900128892,0.990960564,0.376704662
0.173,0.899681561,0.990861596,0.378874949
0.174,0.899236282,0.990762194,0.381044892
0.175,0.898793062,0.990662361,0.383214489
0.176,0.89835191,0.990562099,0.385383737
0.177,0.897912834,0.99046141,0.387552634
0.178,0.897475843,0.990360297,0.389721179
0.179,0.897040943,0.990258761,0.391889369
0.18,0.896608144,0.990156805,0.394057203
0.181,0.896177454,0.990054431,0.396224678
0.182,0.89574888,0.989951641,0.398391793
0.183,0.895322431,0.989848437,0.400558546
0.184,0.894898116,0.989744822,0.402724934
0.185,0.894475941,0.989640798,0.404890957
0.186,0.894055915,0.989536367,0.40705661
0.187,0.893638046,0.989431532,0.409221894
0.188,0.893222342,0.989326294,0.411386805
0.189,0.892808812,0.989220656,0.413551343
0.19,0.892397463,0.98911462,0.415715504
0.191,0.891988302,0.989008189,0.417879287
0.192,0.891581339,0.988901365,0.42004269
0.193,0.891176582,0.988794149,0.42220571
0.194,0.890774037,0.988686545,0.424368347
0.195,0.890373713,0.988578555,0.426530598
0.196,0.889975618,0.988470181,0.428692461
