,x,y
8,1.180123264,1.167136954
8.1,1.075149419,1.188159806
8.2,0.97649947,1.197088758
8.3,0.885738563,1.194275536
8.4,0.803745681,1.180629572
8.5,0.73080527,1.157459207
8.6,0.666741983,1.126301015
8.7,0.611064492,1.088766131
8.8,0.563094615,1.04642015
8.9,0.522069783,1.00070149
9,0.4872163,0.952874942
9.1,0.45779656,0.904013068
9.2,0.433135788,0.854997169
9.3,0.412634191,0.806530439
9.4,0.395769532,0.759157599
9.5,0.382093974,0.713286983
9.6,0.371227885,0.669212551
9.7,0.362852363,0.627134332
9.8,0.356701564,0.587176616
9.9,0.352555425,0.549403636
10,0.35023309,0.513832796
10.1,0.349587129,0.480445641
10.2,0.350498589,0.449196838
10.3,0.352872781,0.42002144
10.4,0.356635749,0.392840709
10.5,0.361731326,0.367566743
10.6,0.368118694,0.344106109
10.7,0.375770355,0.322362687
10.8,0.384670466,0.302239853
10.9,0.394813465,0.283642142
11,0.406202931,0.266476501
11.1,0.418850655,0.250653205
11.2,0.432775864,0.23608651
11.3,0.448004582,0.222695113
11.4,0.464569097,0.210402445
11.5,0.482507507,0.199136848
11.6,0.501863338,0.188831666
11.7,0.522685201,0.179425268
11.8,0.54502649,0.170861035
11.9,0.568945085,0.16308731
12,0.59450306,0.156057351
12.1,0.621766388,0.149729274
12.2,0.650804597,0.144066009
12.3,0.681690394,0.13903529
12.4,0.714499217,0.134609664
12.5,0.749308698,0.130766547
12.6,0.78619801,0.127488344
12.7,0.825247066,0.124762617
12.8,0.866535539,0.122582354
12.9,0.910141647,0.120946315
13,0.956140653,0.119859512
13.1,1.004603022,0.119333816
13.2,1.055592142,0.119388745
13.3,1.109161509,0.120052453
13.4,1.165351268,0.121362963
13.5,1.224183955,0.123369715
13.6,1.285659255,0.126135467
13.7,1.349747575,0.129738643
13.8,1.416382157,0.13427622
13.9,1.485449442,0.139867243
14,1.556777309,0.14665709
14.1,1.630120806,0.154822624
14.2,1.705144916,0.16457832
14.3,1.781403925,0.176183476
14.4,1.858316995,0.189950522
14.5,1.935139691,0.206254299
14.6,2.010931553,0.225541957
14.7,2.084520398,0.248342705
14.8,2.154465033,0.275275978
14.9,2.219019706,0.307055627
15,2.276106022,0.344486313
15.1,2.32330144,0.388446419
15.2,2.357857787,0.439849589
15.3,2.376767935,0.499574908
15.4,2.376902648,0.568354779
15.5,2.355239627,0.6466117
15.6,2.309198869,0.734243079
15.7,2.237077022,0.8303701
15.8,2.138535241,0.933093277
15.9,2.015043876,1.039329235
16,1.870140933,1.144825713
16.1,1.709352271,1.244441684
16.2,1.53968386,1.332716438
16.3,1.368734519,1.404640993
16.4,1.203639405,1.456434955
16.5,1.050145698,1.48609371
16.6,0.912073423,1.49354583
16.7,0.791248523,1.480413593
16.8,0.687815082,1.449509741
16.9,0.600736799,1.404258233
17,0.528307307,1.348191369
17.1,0.46855988,1.284598167
17.2,0.419542384,1.216329467
17.3,0.379471641,1.145726697
17.4,0.346800312,1.074631106
17.5,0.320229345,1.004436236
17.6,0.298691307,0.936157608
17.7,0.281321109,0.870504061
17.8,0.267423694,0.807942772
17.9,0.256443535,0.748754799
18,0.247937994,0.693080652
18.1,0.241555056,0.640956689
18.2,0.237015216,0.592343653
18.3,0.234096969,0.547148734
18.4,0.232625319,0.505242446
18.5,0.232462716,0.46647142
18.6,0.233501935,0.430667999
18.7,0.235660489,0.397657381
18.8,0.238876238,0.367262856
18.9,0.243103938,0.339309607
19,0.248312533,0.313627397
19.1,0.25448302,0.290052418
19.2,0.261606766,0.268428518
19.3,0.269684188,0.248607938
19.4,0.278723717,0.230451707
19.5,0.288740984,0.213829772
19.6,0.299758194,0.198620937
19.7,0.31180364,0.184712668
19.8,0.324911338,0.17200081
19.9,0.339120759,0.16038923
20,0.354476634,0.149789439
20.1,0.371028828,0.140120181
20.2,0.388832267,0.131307025
20.3,0.407946897,0.123281963
20.4,0.428437691,0.115983017
20.5,0.450374671,0.109353864
20.6,0.473832954,0.103343499
20.7,0.49889281,0.097905905
20.8,0.525639724,0.092999769
20.9,0.554164456,0.08858823
21,0.584563093,0.084638652
21.1,0.616937081,0.08112245
21.2,0.651393227,0.078014949
21.3,0.688043654,0.075295295
21.4,0.727005705,0.072946411
21.5,0.768401757,0.070955016
21.6,0.812358947,0.06931171
21.7,0.859008745,0.068011138
21.8,0.908486373,0.06705224
21.9,0.960929992,0.066438621
22,1.016479609,0.066179045
22.1,1.07527563,0.066288105
22.2,1.137456941,0.066787093
22.3,1.203158411,0.067705128
22.4,1.272507639,0.069080615
22.5,1.345620734,0.070963114
22.6,1.422596858,0.073415747
22.7,1.50351118,0.076518273
22.8,1.588405781,0.080371054
22.9,1.677277921,0.085100133
23,1.770064905,0.090863777
23.1,1.866624595,0.097860878
23.2,1.966710298,0.106341742
23.3,2.069938532,0.116621908
23.4,2.175747743,0.129099735
23.5,2.283345798,0.144278607
23.6,2.391643791,0.162794542
23.7,2.499173836,0.185449743
23.8,2.603989273,0.213251883
23.9,2.703547809,0.247457257
24,2.794582659,0.289612783
24.1,2.872975255,0.341586191
24.2,2.933657782,0.40556444
24.3,2.970596664,0.483986723
24.4,2.976939196,0.579360986
24.5,2.945438819,0.69389713
24.6,2.869290534,0.828890571
24.7,2.743466187,0.983834301
24.8,2.566481781,1.155362484
24.9,2.342218331,1.336347913
25,2.08103041,1.515714979
25.1,1.799199242,1.679568378
25.2,1.516228771,1.813799355
25.3,1.250626054,1.907432896
25.4,1.01593642,1.955238134
25.5,0.818812498,1.958354084
25.6,0.659596691,1.922871155
